DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_063_22_00_2019_064_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70015 79251184000  70025 43281184000
INIREV 48261
OBSINF SLR n = 67
OBSINF GPC n = 11251
OBSINF GPP n = 11251
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 13 11 13 mm, 33 21 26 mu/s
QUALCO RMS_Obs_Laser            = 33 mm; n = 67,  elim = 0
QUALCO RMS_Obs_GPScode          = 447 mm; n = 10696, elim = 555
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 10696, elim = 555
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
COMENT The trajectory records end at the end of file
ORBIT
 7001580511184000  -475224171 -1075174826  6776667575-33852645644 68371740909  8453757172      0      0      0    0 WA 
 7001580541184000  -576054351  -869288857  6798298236-33360993511 68872721638  5965370680      0      0      0    0 WA 
 7001580571184000  -675351689  -662015938  6812453279-32830900345 69296262540  3470464406      0      0      0    0 WA 
 7001580601184000  -773002230  -453589349  6819117228-32263285027 69641739185   971763129      0      0      0    0 WA 
 7001580631184000  -868894837  -244244108  6818282791-31659108950 69908614354 -1528004249      0      0      0    0 WD 
 7001580661184000  -962921324   -34216715  6809950867-31019374617 70096439563 -4026107372      0      0      0    0 WD 
 7001580691184000 -1054976568   176255118  6794130540-30345124269 70204856102 -6519817563      0      0      0    0 WD 
 7001580721184000 -1144958633   386932741  6770839078-29637438390 70233595448 -9006411636      0      0      0    0 WD 
 7001580751184000 -1232768878   597576831  6740101902-28897433697 70182478290-11483174564      0      0      0    0 WD 
 7001580781184000 -1318312067   807947661  6701952568-28126261827 70051414775-13947400304      0      0      0    0 WD 
 7001580811184000 -1401496467  1017805372  6656432732-27325108734 69840406167-16396394449      0      0      0    0 LD 
 7001580841184000 -1482233956  1226910243  6603592112-26495193242 69549545316-18827478181      0      0      0    0 WD 
 7001580871184000 -1560440112  1435022973  6543488434-25637764836 69179016691-21237991620      0      0      0    0 WD 
 7001580901184000 -1636034309  1641904948  6476187371-24754101280 68729095786-23625296851      0      0  -1000    0 LD 
 7001580931184000 -1708939788  1847318518  6401762476-23845506868 68200148268-25986779585      0      0  -1000    0 LD 
 7001580961184000 -1779083748  2051027264  6320295106-22913311334 67592630738-28319850720      0      0  -1000    0 LD 
 7001580991184000 -1846397408  2252796278  6231874345-21958868594 66907092109-30621949566      0      0  -1000    0 LD 
 7001581021184000 -1910816088  2452392434  6136596910-20983554831 66144173652-32890549141      0      0  -1000    0 LD 
 7001581051184000 -1972279261  2649584667  6034567040-19988765382 65304605385-35123160102      0      0  -1000    0 LD 
 7001581081184000 -2030730616  2844144230  5925896392-18975912546 64389203818-37317329345      0      0  -1000    0 LD 
 7001581111184000 -2086118101  3035844959  5810703924-17946424993 63398874527-39470640100      0      0  -1000    0 LD 
 7001581141184000 -2138393975  3224463543  5689115787-16901746758 62334613571-41580716606      0      0  -1000    0 LD 
 7001581171184000 -2187514849  3409779792  5561265190-15843335779 61197506205-43645229171      0      0  -2000    0 LD 
 7001581201184000 -2233441726  3591576903  5427292258-14772661409 59988724400-45661897593      0      0  -2000    0 LD 
 7001581231184000 -2276140031  3769641718  5287343880-13691201588 58709525308-47628492274      0      0  -2000    0 LD 
 7001581261184000 -2315579634  3943764977  5141573557-12600440925 57361251213-49542836136      0      0  -2000    0 LD 
 7001581291184000 -2351734866  4113741574  4990141237-11501868928 55945328442-51402807979      0      0  -2000    0 LD 
 7001581321184000 -2384584529  4279370805  4833213146-10396978157 54463265315-53206345056      0      0  -2000    0 LD 
 7001581351184000 -2414111910  4440456611  4670961606 -9287262436 52916650611-54951445001      0      0  -2000    0 LD 
 7001581381184000 -2440304772  4596807822  4503564855 -8174215030 51307152612-56636168000      0      0  -2000    0 LD 
 7001581411184000 -2463155359  4748238388  4331206852 -7059326798 49636517954-58258639798      0      0  -2000    0 LD 
 7001581441184000 -2482660379  4894567613  4154077075 -5944084022 47906569218-59817054966      0      0  -2000    0 LD 
 7001581471184000 -2498820988  5035620383  3972370316 -4829966028 46119202358-61309678799      0      0  -2000    0 LD 
 7001581501184000 -2511642770  5171227375  3786286458 -3718443058 44276384928-62734849198      0      0  -3000    0 LD 
 7001581531184000 -2521135701  5301225276  3596030264 -2610974216 42380153460-64090978892      0      0  -3000    0 LD 
 7001581561184000 -2527314116  5425456982  3401811139 -1509005766 40432610789-65376556626      0      0  -3000    0 LD 
 7001581591184000 -2530196669  5543771795  3203842912  -413969707 38435924366-66590148632      0      0  -3000    0 LD 
 7001581621184000 -2529806284  5656025613  3002343590   672718016 36392324307-67730400752      0      0  -3000    0 LD 
 7001581651184000 -2526170108  5762081116  2797535123  1749659502 34304101140-68796040528      0      0  -3000    0 LD 
 7001581681184000 -2519319451  5861807943  2589643151  2815477071 32173603078-69785879376      0      0  -3000    0 LD 
 7001581711184000 -2509289725  5955082860  2378896754  3868815368 30003232697-70698814154      0      0  -3000    0 WD 
 7001581741184000 -2496120370  6041789919  2165528190  4908343087 27795443925-71533828277      0      0  -3000    0 WD 
 7001581771184000 -2479854784  6121820606  1949772636  5932754814 25552738996-72289992971      0      0  -3000    0 WD 
 7001581801184000 -2460540236  6195073983  1731867924  6940772967 23277665507-72966468032      0      0  -3000    0 WD 
