DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_066_22_00_2019_067_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70045 79251184000  70055 43281184000
INIREV 48306
OBSINF SLR n = 85
OBSINF GPC n = 11692
OBSINF GPP n = 11692
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 93 103 63 mm, 231 243 172 mu/s
QUALCO RMS_Obs_Laser            = 31 mm; n = 85,  elim = 0
QUALCO RMS_Obs_GPScode          = 460 mm; n = 11107, elim = 585
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11107, elim = 585
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
 7004580721184000  1862306884 -2136857580 -6285629599 23543644612-66607467896 29631839855      0      0   1000    0 WA 
 7004580751184000  1931479436 -2335637301 -6193316600 22567715146-65899627431 31904626069      0      0   1000    0 WA 
 7004580781184000  1997691816 -2532179365 -6094236275 21570427343-65115809971 34142981395      0      0   1000    0 WA 
 7004580811184000  2060882038 -2726256903 -5988495584 20553177363-64256737649 36344466201      0      0   1000    0 WA 
 7004580841184000  2120992333 -2917645344 -5876208752 19517380612-63323221749 38506677945      0      0   1000    0 WA 
 7004580871184000  2177969206 -3106122685 -5757497153 18464469130-62316160398 40627254301      0      0   1000    0 WA 
 7004580901184000  2231763480 -3291469743 -5632489183 17395890378-61236537988 42703875083      0      0   2000    0 WA 
 7004580931184000  2282330342 -3473470419 -5501320133 16313105381-60085424346 44734266685      0      0   2000    0 WA 
 7004580961184000  2329629377 -3651911946 -5364132039 15217585479-58863970795 46716203918      0      0   2000    0 WA 
 7004580991184000  2373624600 -3826585134 -5221073544 14110811212-57573409936 48647508277      0      0   2000    0 WA 
 7004581021184000  2414284479 -3997284612 -5072299753 12994272044-56215057998 50526051307      0      0   2000    0 WA 
 7004581051184000  2451581963 -4163809086 -4917972073 11869463741-54790312566 52349759796      0      0   2000    0 WA 
 7004581081184000  2485494492 -4325961568 -4758258047 10737885797-53300649608 54116616891      0      0   2000    0 WA 
 7004581111184000  2516004010 -4483549617 -4593331185  9601039896-51747623113 55824662576      0      0   2000    0 WA 
 7004581141184000  2543096966 -4636385573 -4423370786  8460428229-50132865613 57471995965      0      0   2000    0 WA 
 7004581171184000  2566764314 -4784286787 -4248561761  7317551349-48458087240 59056779065      0      0   2000    0 LA 
 7004581201184000  2587001505 -4927075858 -4069094437  6173906032-46725073321 60577239609      0      0   2000    0 LA 
 7004581231184000  2603808473 -5064580848 -3885164353  5030983565-44935682494 62031673097      0      0   2000    0 LA 
 7004581261184000  2617189614 -5196635504 -3696972062  3890268168-43091844716 63418445328      0      0   3000    0 LA 
 7004581291184000  2627153765 -5323079466 -3504722907  2753235267-41195558970 64735994540      0      0   3000    0 LA 
 7004581321184000  2633714173 -5443758473 -3308626807  1621349146-39248891107 65982833479      0      0   3000    0 LA 
 7004581351184000  2636888458 -5558524558 -3108898030   496060553-37253970908 67157550830      0      0   3000    0 LA 
 7004581381184000  2636698571 -5667236236 -2905754961  -621194006-35212990288 68258811875      0      0   3000    0 LA 
 7004581411184000  2633170750 -5769758691 -2699419873 -1728993209-33128202705 69285361146      0      0   3000    0 LA 
 7004581441184000  2626335471 -5865963956 -2490118682 -2825934173-31001920694 70236025248      0      0   3000    0 LA 
 7004581471184000  2616227385 -5955731088 -2278080701 -3910635650-28836512893 71109713400      0      0   3000    0 LA 
 7004581501184000  2602885255 -6038946329 -2063538388 -4981739408-26634402596 71905418644      0      0   3000    0 LA 
 7004581531184000  2586351882 -6115503274 -1846727093 -6037910736-24398064368 72622222166      0      0   3000    0 LA 
 7004581561184000  2566674034 -6185303005 -1627884788 -7077839882-22130016929 73259295566      0      0   3000    0 LA 
