DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_067_22_00_2019_068_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70055 79251184000  70065 43281184000
INIREV 48321
OBSINF SLR n = 16
OBSINF GPC n = 11723
OBSINF GPP n = 11723
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 8 11 12 mm, 20 19 21 mu/s
 7005581501184000  1030950914 -4542330705  5065397421-29711960496 49715953525 50491316916      0      0   2000    0 LA 
 7005581531184000   941597847 -4390531582  5214054613-29850034513 51474315089 48604412767      0      0   2000    0 LA 
 7005581561184000   851890949 -4233540732  5356970563-29947868681 53176761843 46664175718      0      0   2000    0 LA 
 7005581591184000   761950728 -4071528953  5493988482-30005611418 54821268163 44672755056      0      0   2000    0 WA 
 7005581621184000   671897172 -3904673025  5624958111-30023464130 56405874816 42632353565      0      0   2000    0 WA 
 7005581651184000   581849582 -3733155498  5749735875-30001680286 57928690498 40545225025      0      0   2000    0 WA 
 7005581681184000   491926424 -3557164496  5868185035-29940564811 59387893626 38413671870      0      0   1000    0 WA 
 7005581711184000   402245171 -3376893501  5980175828-29840473579 60781733951 36240042607      0      0   1000    0 WA 
 7005581741184000   312922153 -3192541135  6085585606-29701812740 62108534424 34026729918      0      0   1000    0 WA 
 7005581771184000   224072410 -3004310938  6184298957-29525037753 63366693836 31776167908      0      0   1000    0 LA 
 7005581801184000   135809540 -2812411140  6276207835-29310651593 64554688305 29490828806      0      0   1000    0 LA 
 7005581831184000    48245564 -2617054422  6361211660-29059203428 65671072374 27173220896      0      0   1000    0 LA 
 7005581861184000   -38509213 -2418457684  6439217432-28771288411 66714480930 24825885869      0      0   1000    0 WA 
 7005581891184000  -124346339 -2216841798  6510139819-28447547084 67683629932 22451395374      0      0   1000    0 LA 
 7005581921184000  -209159352 -2012431369  6573901248-28088664271 68577316928 20052349788      0      0   1000    0 WA 
 7005581951184000  -292843910 -1805454480  6630431990-27695368267 69394424147 17631376965      0      0      0    0 WA 
 7005581981184000  -375297918 -1596142437  6679670233-27268429453 70133921631 15191127735      0      0      0    0 WA 
 7005582011184000  -456421653 -1384729504  6721562149-26808657808 70794867464 12734271447      0      0      0    0 WA 
 7005582041184000  -536117878 -1171452641  6756061940-26316901238 71376406953 10263494304      0      0      0    0 WA 
 7005582071184000  -614291960  -956551238  6783131895-25794045765 71877774342  7781498366      0      0      0    0 WA 
 7005582101184000  -690851976  -740266845  6802742425-25241015030 72298295216  5290997086      0      0      0    0 WA 
 7005582131184000  -765708833  -522842900  6814872093-24658768002 72637385866  2794711138      0      0      0    0 WA 
 7005582161184000  -838776360  -304524456  6819507634-24048297041 72894553245   295367179      0      0      0    0 WA 
 7005582191184000  -909971414   -85557907  6816643968-23410626534 73069396650 -2204304374      0      0      0    0 WD 
 7005582221184000  -979213973   133809290  6806284211-22746811409 73161608784 -4701572539      0      0      0    0 WD 
 7005582251184000 -1046427221   353328898  6788439664-22057935725 73170976290 -7193709518      0      0      0    0 WD 
 7005582281184000 -1111537637   572752179  6763129806-21345110808 73097378873 -9677994041      0      0      0    0 WD 
 7005582311184000 -1174475073   791830175  6730382267-20609473428 72940788800-12151712591      0      0      0    0 WD 
 7005582341184000 -1235172826  1010313982  6690232801-19852184815 72701272136-14612161165      0      0      0    0 WD 
 7005582371184000 -1293567714  1227955039  6642725261-19074429619 72378989529-17056648663      0      0      0    0 WD 
 7005582401184000 -1349600143  1444505406  6587911546-18277414176 71974196489-19482500455      0      0      0    0 WD 
 7005582431184000 -1403214164  1659718054  6525851549-17462364165 71487242834-21887062102      0      0      0    0 LD 
 7005582461184000 -1454357536  1873347142  6456613096-16630522579 70918571156-24267701377      0      0  -1000    0 LD 
 7005582491184000 -1502981767  2085148295  6380271873-15783148594 70268717120-26621809434      0      0  -1000    0 LD 
 7005582521184000 -1549042168  2294878889  6296911354-14921516303 69538310657-28946803898      0      0  -1000    0 LD 
 7005582551184000 -1592497894  2502298328  6206622716-14046913246 68728075908-31240133234      0      0  -1000    0 LD 
 7005582581184000 -1633311976  2707168330  6109504738-13160638409 67838829174-33499280685      0      0  -1000    0 LD 
 7005582611184000 -1671451359  2909253194  6005663696-12263999199 66871476760-35721765490      0      0  -1000    0 LD 
 7005582641184000 -1706886920  3108320078  5895213253-11358309084 65827015049-37905143710      0      0  -1000    0 LD 
 7005582671184000 -1739593482  3304139259  5778274346-10444886769 64706530300-40047010514      0      0  -1000    0 LD 
 7005582701184000 -1769549832  3496484410  5654975066 -9525056016 63511198816-42145002474      0      0  -1000    0 LD 
 7005582731184000 -1796738737  3685132869  5525450526 -8600144143 62242287206-44196801965      0      0  -2000    0 LD 
 7005582761184000 -1821146944  3869865905  5389842716 -7671479118 60901150026-46200141495      0      0  -2000    0 LD 
 7005582791184000 -1842765184  4050468980  5248300354 -6740387202 59489227338-48152805687      0      0  -2000    0 LD 
 7005582821184000 -1861588163  4226732005  5100978721 -5808191467 58008043409-50052633194      0      0  -2000    0 LD 
 7005582851184000 -1877614548  4398449584  4948039498 -4876210264 56459205494-51897518994      0      0  -2000    0 LD 
 7005582881184000 -1890846951  4565421270  4789650597 -3945755095 54844402697-53685416880      0      0  -2000    0 LD 
 7005582911184000 -1901291907  4727451802  4625985972 -3018128434 53165404046-55414342195      0      0  -2000    0 LD 
 7005582941184000 -1908959843  4884351343  4457225440 -2094622273 51424056373-57082373486      0      0  -2000    0 LD 
 7005582971184000 -1913865042  5035935712  4283554483 -1176516853 49622283563-58687654687      0      0  -2000    0 LD 
 7005583001184000 -1916025612  5182026615  4105164051  -265078693 47762084388-60228398916      0      0  -2000    0 LD 
 7005583031184000 -1915463433  5322451860  3922250344   638441014 45845528704-61702890950   2000      0  -2000    0 LD 
 7005583061184000 -1912204120  5457045567  3735014602  1532807409 43874754669-63109488607  12000      0  -2000    0 LD 
 7005583091184000 -1906276960  5585648372  3543662877  2416803608 41851967246-64446624254  27000   1000  -2000    0 LD 
 7005583121184000 -1897714865  5708107625  3348405812  3289233577 39779436443-65712807316  42000   2000  -2000    0 LD 
 7005583151184000 -1886554298  5824277577  3149458401  4148924504 37659493908-66906625745  57000   2000  -1000    0 LD 
 7005583181184000 -1872835207  5934019566  2947039757  4994727008 35494531073-68026746697  65000   3000  -1000    0 LD 
 7005583211184000 -1856600951  6037202191  2741372871  5825516032 33286997604-69071919937  67000   3000  -1000    0 LD 
 7005583241184000 -1837898223  6133701483  2532684353  6640193583 31039397271-70040980648  67000   3000  -1000    0 LD 
 7005583271184000 -1816776970  6223401060  2321204181  7437690883 28754283951-70932849975  67000   3000  -1000    0 WD 
 7005583301184000 -1793290298  6306192274  2107165440  8216969423 26434258721-71746535767  65000   3000  -1000    0 LD 
 7005583331184000 -1767494381  6381974345  1890804057  8977022283 24081966999-72481133862  57000   3000  -1000    0 LD 
 7005583361184000 -1739448364  6450654495  1672358543  9716875911 21700095403-73135829092  43000   2000  -2000    0 LD 
 7005583391184000 -1709214265  6512148061  1452069714 10435591276 19291368845-73709896252  28000   1000  -3000    0 LD 
 7005583421184000 -1676856860  6566378612  1230180430 11132264705 16858547232-74202701820  12000      0  -3000    0 LD 
 7005583451184000 -1642443587  6613278039  1006935309 11806029046 14404421189-74613704876   3000      0  -3000    0 WD 
 7005583481184000 -1606044426  6652786651   782580455 12456054718 11931808432-74942456878      0      0  -3000    0 WD 
 7005583511184000 -1567731790  6684853245   557363178 13081550458  9443551151-75188601750      0      0  -3000    0 LD 
 7005583541184000 -1527580406  6709435177   331531717 13681764213  6942513633-75351876945      0      0  -3000    0 LD 
 7005583571184000 -1485667199  6726498429   105334956 14255984716  4431578762-75432114964      0      0  -3000    0 LD 
 7005583601184000 -1442071162  6736017649  -120977860 14803542794  1913643725-75429243769      0      0  -3000    0 LD 
 7005583631184000 -1396873232  6737976199  -347157418 15323812557  -608383074-75343287150      0      0  -3000    0 LD 
 7005583661184000 -1350156157  6732366174  -572954616 15816213544 -3131586664-75174366628      0      0  -3000    0 WD 
 7005583691184000 -1302004356  6719188416  -798120869 16280210836 -5653053723-74922700932      0      0  -3000    0 WD 
 7005583721184000 -1252503788  6698452496 -1022408385 16715312914 -8169876980-74588601733      0      0  -3000    0 WD 
 7005583751184000 -1201741823  6670176699 -1245570446 17121072452-10679154901-74172471944      0      0  -3000    0 WD 
 7005583781184000 -1149807099  6634388005 -1467361678 17497088591-13177994285-73674806783      0      0  -3000    0 WD 
 7005583811184000 -1096789390  6591122053 -1687538335 17843007080-15663515365-73096193603      0      0  -3000    0 WD 
 7005583841184000 -1042779464  6540423094 -1905858567 18158519740-18132856157-72437310424      0      0  -3000    0 WD 
 7005583871184000  -987868941  6482343938 -2122082692 18443364579-20583175618-71698924017      0      0  -3000    0 WD 
 7005583901184000  -932150161  6416945880 -2335973459 18697326205-23011656352-70881888434      0      0  -3000    0 WD 
 7005583931184000  -875716037  6344298630 -2547296311 18920235931-25415507532-69987143868      0      0  -3000    0 WD 
 7005583961184000  -818659921  6264480227 -2755819636 19111971683-27791967753-69015715735      0      0  -3000    0 WD 
 7005583991184000  -761075458  6177576945 -2961315029 19272458156-30138308133-67968713922      0      0  -3000    0 WD 
 7005584021184000  -703056451  6083683192 -3163557536 19401666924-32451835988-66847331531      0      0  -3000    0 WD 
 7005584051184000  -644696718  5982901396 -3362325909 19499616075-34729898239-65652843026      0      0  -3000    0 WD 
 7005584081184000  -586089952  5875341880 -3557402840 19566369528-36969884444-64386602664      0      0  -3000    0 WD 
 7005584111184000  -527329588  5761122731 -3748575203 19602036628-39169230322-63050042942      0      0  -3000    0 WD 
 7005584141184000  -468508665  5640369655 -3935634284 19606771970-41325421300-61644671982      0      0  -3000    0 WD 
 7005584171184000  -409719690  5513215823 -4118376002 19580774981-43435994801-60172070696      0      0  -3000    0 WD 
 7005584201184000  -351054506  5379801714 -4296601127 19524289437-45498542119-58633890972      0      0  -2000    0 WD 
 7005584231184000  -292604156  5240274950 -4470115489 19437602970-47510710918-57031854041      0      0  -2000    0 WD 
 7005584261184000  -234458759  5094790122 -4638730181 19321046340-49470207812-55367748601      0      0  -2000    0 WD 
 7005584291184000  -176707376  4943508609 -4802261764 19174992726-51374801027-53643428938      0      0  -2000    0 WD 
 7005584321184000  -119437886  4786598390 -4960532456 18999857110-53222323239-51860812702      0      0  -2000    0 WD 
 7005584351184000   -62736861  4624233844 -5113370320 18796095503-55010674141-50021878220      0      0  -2000    0 WD 
 7005584381184000    -6689445  4456595550 -5260609442 18564203909-56737822566-48128661882      0      0  -2000    0 WD 
 7005584411184000    48620766  4283870073 -5402090100 18304717229-58401808488-46183255732      0      0  -2000    0 WD 
 7005584441184000   103111835  4106249750 -5537658930 18018208228-60000745092-44187805097      0      0  -2000    0 WD 
 7005584471184000   156703602  3923932466 -5667169080 17705286582-61532820880-42144505972      0      0  -2000    0 WD 
 7005584501184000   209317787  3737121423 -5790480359 17366597987-62996301522-40055602092      0      0  -2000    0 WD 
 7005584531184000   260878102  3546024910 -5907459375 17002822786-64389531153-37923381941      0      0  -1000    0 WD 
 7005584561184000   311310349  3350856066 -6017979664 16614673983-65710933191-35750176609      0      0  -1000    0 WD 
 7005584591184000   360542516  3151832637 -6121921820 16202896160-66959011949-33538358279      0      0  -1000    0 WD 
 7005584621184000   408504872  2949176733 -6219173610 15768265320-68132354830-31290337036      0      0  -1000    0 WD 
 7005584651184000   455130060  2743114576 -6309630083 15311587957-69229632915-29008556984      0      0  -1000    0 WD 
 7005584681184000   500353187  2533876249 -6393193668 14833699515-70249600706-26695494348      0      0  -1000    0 LD 
 7005584711184000   544111908  2321695446 -6469774273 14335463021-71191097245-24353656698      0      0  -1000    0 LD 
 7005584741184000   586346506  2106809213 -6539289370 13817767739-72053048700-21985581251      0      0  -1000    0 LD 
 7005584771184000   626999969  1889457686 -6601664085 13281527477-72834471074-19593831297      0      0  -1000    0 LD 
 7005584801184000   666018062  1669883812 -6656831267 12727678772-73534471134-17180991414      0      0      0    0 LD 
 7005584831184000   703349390  1448333088 -6704731545 12157179351-74152244774-14749664011      0      0      0    0 LD 
 7005584861184000   738945464  1225053289 -6745313383 11571007262-74687075711-12302469192      0      0      0    0 LD 
 7005584891184000   772760758  1000294206 -6778533130 10970160450-75138337817 -9842044377      0      0      0    0 LD 
 7005584921184000   804752768   774307368 -6804355070 10355655246-75505497859 -7371040712      0      0      0    0 LD 
 7005584951184000   834882063   547345764 -6822751456  9728523959-75788115860 -4892119312      0      0      0    0 LD 
 7005584981184000   863112332   319663564 -6833702537  9089813091-75985845342 -2407948569      0      0      0    0 LD 
 7005585011184000   889410421    91515836 -6837196570  8440581906-76098433776    78799717      0      0      0    0 LA 
 7005585041184000   913746373  -136841734 -6833229832  7781900984-76125720934  2565453923      0      0      0    0 LA 
 7005585071184000   936093458  -365153116 -6821806612  7114851362-76067637512  5049342964      0      0      0    0 LA 
 7005585101184000   956428203  -593162209 -6802939210  6440523480-75924207215  7527797225      0      0      0    0 LA 
 7005585131184000   974730418  -820613127 -6776647928  5760015062-75695547998  9998152839      0      0      0    0 WA 
 7005585161184000   990983216 -1047250476 -6742961047  5074429123-75381870420 12457754928      0      0      0    0 LA 
 7005585191184000  1005173022 -1272819631 -6701914797  4384872532-74983476766 14903958879      0      0      0    0 WA 
 7005585221184000  1017289590 -1497067011 -6653553324  3692454710-74500761010 17334132295      0      0      0    0 WA 
 7005585251184000  1027326000 -1719740357 -6597928652  2998286935-73934208658 19745656632      0      0      0    0 WA 
 7005585281184000  1035278674 -1940589002 -6535100637  2303481722-73284397829 22135929125      0      0      0    0 LA 
 7005585311184000  1041147365 -2159364154 -6465136914  1609150818-72551999866 24502366148      0      0   1000    0 LA 
 7005585341184000  1044935161 -2375819174 -6388112838   916402500-71737778624 26842406133      0      0   1000    0 LA 
 7005585371184000  1046648466 -2589709855 -6304111412   226339321-70842590286 29153512039      0      0   1000    0 WA 
 7005585401184000  1046296978 -2800794695 -6213223210  -459943738-69867383436 31433174916      0      0   1000    0 WA 
 7005585431184000  1043893670 -3008835174 -6115546284 -1141360233-68813197484 33678918023      0      0   1000    0 WA 
 7005585461184000  1039454761 -3213596025 -6011186065 -1816832829-67681160228 35888299212      0      0   1000    0 WA 
 7005585491184000  1032999684 -3414845496 -5900255258 -2485294726-66472486894 38058912290      0      0   1000    0 WA 
 7005585521184000  1024551058 -3612355610 -5782873728 -3145691231-65188479629 40188389522      0      0   1000    0 WA 
 7005585551184000  1014134644 -3805902425 -5659168384 -3796980936-63830525999 42274404403      0      0   1000    0 WA 
 7005585581184000  1001779307 -3995266288 -5529273049 -4438137143-62400097381 44314673430      0      0   2000    0 WA 
 7005585611184000   987516966 -4180232086 -5393328330 -5068149608-60898748423 46306957605      0      0   2000    0 WA 
 7005585641184000   971382545 -4360589493 -5251481482 -5686026358-59328116660 48249065156      0      0   2000    0 WA 
 7005585671184000   953413916 -4536133219 -5103886259 -6290795466-57689920973 50138854896      0      0   2000    0 WA 
 7005585701184000   933651831 -4706663251 -4950702760 -6881506360-55985959537 51974238834      0      0   2000    0 WA 
 7005585731184000   912139865 -4871985084 -4792097266 -7457230831-54218108371 53753184362      0      0   2000    0 WA 
 7005585761184000   888924338 -5031909961 -4628242069 -8017064222-52388319881 55473716968      0      0   2000    0 WA 
 7005585791184000   864054251 -5186255091 -4459315293 -8560126889-50498620811 57133923072      0      0   2000    0 WA 
 7005585821184000   837581202 -5334843872 -4285500709 -9085565794-48551109695 58731952642      0      0   2000    0 WA 
 7005585851184000   809559306 -5477506102 -4106987540 -9592555865-46547954043 60266021078      0      0   2000    0 WA 
 7005585881184000   780045112 -5614078184 -3923970264-10080301123-44491388328 61734410617      0      0   2000    0 WA 
 7005585911184000   749097511 -5744403320 -3736648407-10548035886-42383712295 63135472586      0      0   3000    0 WA 
 7005585941184000   716777643 -5868331708 -3545226335-10995025882-40227288377 64467629882      0      0   3000    0 WA 
 7005585971184000   683148803 -5985720722 -3349913038-11420569213-38024538956 65729378812      0      0   3000    0 WA 
 7005586001184000   648276344 -6096435094 -3150921902-11823997305-35777944056 66919290811      0      0   3000    0 WA 
 7005586031184000   612227570 -6200347075 -2948470484-12204675953-33490039170 68036014513      0      0   3000    0 WA 
 7005586061184000   575071638 -6297336606 -2742780278-12562006466-31163412613 69078278145      0      0   3000    0 WA 
 7005586091184000   536879443 -6387291465 -2534076468-12895426829-28800702245 70044891704      0      0   3000    0 WA 
 7005586121184000   497723512 -6470107418 -2322587687-13204412783-26404592019 70934748762      0      0   3000    0 WA 
 7005586151184000   457677888 -6545688343 -2108545756-13488478698-23977808455 71746828056      0      0   3000    0 WA 
 7005586181184000   416818008 -6613946360 -1892185434-13747178272-21523117167 72480194755      0      0   3000    0 WA 
 7005586211184000   375220592 -6674801938 -1673744151-13980105104-19043319475 73134001552      0      0   3000    0 WA 
 7005586241184000   332963517 -6728184003 -1453461747-14186893209-16541249249 73707489557      0      0   3000    0 WA 
 7005586271184000   290125698 -6774030024 -1231580204-14367217718-14019769963 74199989536      0      0   3000    0 WA 
 7005586301184000   246786959 -6812286102 -1008343379-14520795650-11481771035 74610923416      0      0   3000    0 WA 
 7005586331184000   203027912 -6842907041  -783996719-14647386471 -8930163675 74939805050      0      0   3000    0 WA 
 7005586361184000   158929826 -6865856405  -558786998-14746792480 -6367877201 75186240480      0      0   3000    0 WA 
 7005586391184000   114574498 -6881106569  -332962027-14818859082 -3797855666 75349928283      0      0   3000    0 WA 
 70065   21184000    70044124 -6888638759  -106770387-14863474879 -1223054663 75430659961      0      0   3000    0 WA 
 70065   51184000    25421169 -6888443081   119538859-14880571724  1353561695 75428320695      0      0   3000    0 WA 
 70065   81184000   -19211761 -6880518542   345716443-14870124905  3929024550 75342890326      0      0   3000    0 WA 
 70065  111184000   -63772054 -6864873057   571513181-14832153451  6500364667 75174443671      0      0   3000    0 WA 
 70065  141184000  -108177219 -6841523443   796680255-14766720369  9064616594 74923150259      0      0   3000    0 WA 
 70065  171184000  -152345020 -6810495404  1020969496-14673932524 11618822263 74589273834      0      0   3000    0 WA 
 70065  201184000  -196193608 -6771823504  1244133670-14553940309 14160034111 74173172369      0      0   3000    0 WA 
 70065  231184000  -239641649 -6725551127  1465926755-14406937225 16685319182 73675298600      0      0   3000    0 WA 
 70065  261184000  -282608455 -6671730429  1686104232-14233159525 19191764232 73096198789      0      0   3000    0 WA 
 70065  291184000  -325014110 -6610422273  1904423356-14032886491 21676478249 72436510402      0      0   3000    0 LA 
 70065  321184000  -366779599 -6541696159  2120643433-13806439924 24136594246 71696963184      0      0   3000    0 WA 
