DSIDP TDX-ORB-3-RSO+CTS-RSG_2019_067_22_00_2019_068_12_00
COMENT TerraSAR-X SST Two-Step Processing
COMENT For best results cut the orbit to the period
COMENT 22:50:00 - 10:50:00
COSPAR 2010-030A
PERIOD  70055 79251184000  70065 43281184000
INIREV 48321
OBSINF SLR n = 16
OBSINF GPC n = 11723
OBSINF GPP n = 11723
PARAMS MNA EX  EY  EZ  EXD EYD EZD BTC BTS BTD BTT BNC BNS BND BNT
QUALCO Sta_Dev_Initial_Elements = 8 11 12 mm, 20 19 21 mu/s
QUALCO RMS_Obs_Laser            = 74 mm; n = 16,  elim = 0
QUALCO RMS_Obs_GPScode          = 456 mm; n = 11211, elim = 512
QUALCO RMS_Obs_GPSphase         = 6 mm; n = 11211, elim = 512
TFRAME TT
TT-UTC 69184 ms
RFRAME CTS
MRELAT  Post Newt. IERS-2003
MNUTAT  IAU200OA compl.+off.
MPOTER  COMB-Projekt D1 + CH
MPOLUN  FERRARI77
METID   IERS-Conv. (1996)
MOTID   EOT11a, Load Love Nu
MATMOS  DTM 94bis
MALBED  No Albedo
MEPHEM  DE200/LE200
COMENT The ORBIT line marks end of the header and start of the trajectory records
COMENT The trajectory records end at the end of file
ORBIT
 7005579251184000   509256103   895120928 -6818019187 39526185648-65333952197 -5629861754      0      0      0    0 LD 
 7005579281184000   627107643   698411268 -6831185568 39034078712-65793618908 -3146941115      0      0      0    0 LD 
 7005579311184000   743416438   500432758 -6836897463 38497835376-66179745446  -660650006      0      0      0    0 LD 
 7005579341184000   858051419   301406940 -6835148771 37918357312-66491729837  1826337705      0      0      0    0 LA 
 7005579371184000   970884294   101557044 -6825941414 37296593520-66729051562  4311348295      0      0      0    0 LA 
 7005579401184000  1081789688   -98892264 -6809285329 36633538869-66891271232  6791711559      0      0      0    0 LA 
 7005579431184000  1190645274  -299715120 -6785198457 35930232663-66978030368  9264762166      0      0      0    0 LA 
 7005579461184000  1297331913  -500684707 -6753706728 35187757089-66989052990 11727841280      0      0      0    0 LA 
 7005579491184000  1401733769  -701573506 -6714844031 34407235175-66924146799 14178299123      0      0      0    0 LA 
 7005579521184000  1503738439  -902153548 -6668652193 33589829663-66783203333 16613497340      0      0      0    0 WA 
 7005579551184000  1603237065 -1102196662 -6615180932 32736743024-66566198218 19030811142      0      0      0    0 WA 
 7005579581184000  1700124457 -1301474733 -6554487819 31849217036-66273191967 21427633155      0      0      0    0 WA 
 7005579611184000  1794299205 -1499759955 -6486638212 30928529877-65904329426 23801377423      0      0   1000    0 WA 
 7005579641184000  1885663785 -1696825079 -6411705196 29975992776-65459839221 26149480365      0      0   1000    0 WA 
 7005579671184000  1974124653 -1892443673 -6329769512 28992948575-64940034743 28469401568      0      0   1000    0 WA 
 7005579701184000  2059592342 -2086390369 -6240919484 27980770908-64345314766 30758626269      0      0   1000    0 WA 
 7005579731184000  2141981548 -2278441127 -6145250939 26940863076-63676163595 33014667984      0      0   1000    0 WA 
 7005579761184000  2221211221 -2468373487 -6042867116 25874656947-62933151649 35235070807      0      0   1000    0 WA 
 7005579791184000  2297204650 -2655966831 -5933878576 24783611852-62116936553 37417412973      0      0   1000    0 WA 
 7005579821184000  2369889537 -2841002645 -5818403084 23669212130-61228262520 39559311241      0      0   1000    0 WA 
 7005579851184000  2439198074 -3023264774 -5696565496 22532964550-60267958974 41658423276      0      0   1000    0 WA 
 7005579881184000  2505067003 -3202539681 -5568497631 21376396876-59236940625 43712450437      0      0   2000    0 WA 
 7005579911184000  2567437680 -3378616698 -5434338130 20201055176-58136205650 45719142324      0      0   2000    0 WA 
 7005579941184000  2626256121 -3551288274 -5294232315 19008500907-56966832234 47676297206      0      0   2000    0 WA 
 7005579971184000  2681473050 -3720350210 -5148332039 17800310828-55729979295 49581761637      0      0   2000    0 WA 
 7005580001184000  2733043941 -3885601908 -4996795538 16578075733-54426887426 51433434951      0      0   2000    0 WA 
 7005580031184000  2780929060 -4046846613 -4839787267 15343396744-53058876487 53229272456      0      0   2000    0 WA 
 7005580061184000  2825093486 -4203891643 -4677477729 14097883040-51627344192 54967286121      0      0   2000    0 WA 
 7005580091184000  2865507140 -4356548629 -4510043306 12843150978-50133765430 56645546120      0      0   2000    0 WA 
 7005580121184000  2902144796 -4504633738 -4337666078 11580823132-48579691916 58262182750      0      0   2000    0 WA 
 7005580151184000  2934986109 -4647967911 -4160533642 10312526174-46966752102 59815389319      0      0   2000    0 LA 
 7005580181184000  2964015612 -4786377086 -3978838915  9039888066-45296649794 61303425359      0      0   2000    0 LA 
 7005580211184000  2989222723 -4919692423 -3792779934  7764535775-43571162293 62724619359      0      0   3000    0 LA 
 7005580241184000  3010601737 -5047750521 -3602559643  6488093062-41792138412 64077371748      0      0   3000    0 LA 
 7005580271184000  3028151810 -5170393632 -3408385673  5212178311-39961495406 65360157397      0      0   3000    0 LA 
 7005580301184000  3041876946 -5287469855 -3210470118  3938402780-38081216044 66571526620      0      0   3000    0 LA 
 7005580331184000  3051785969 -5398833336 -3009029306  2668368950-36153347247 67710105872      0      0   3000    0 LA 
 7005580361184000  3057892494 -5504344457 -2804283570  1403668772-34179998997 68774599929      0      0   3000    0 LA 
 7005580391184000  3060214895 -5603870020 -2596457008   145881364-32163341796 69763794617      0      0   3000    0 LA 
 7005580421184000  3058776259 -5697283425 -2385777237 -1103429511-30105603637 70676558099      0      0   3000    0 LA 
 7005580451184000  3053604342 -5784464842 -2172475142 -2342716890-28009068068 71511841819      0      0   3000    0 LA 
 7005580481184000  3044731511 -5865301372 -1956784631 -3570452057-25876072443 72268683075      0      0   3000    0 LA 
 7005580511184000  3032194689 -5939687203 -1738942364 -4785128114-23709004947 72946207516      0      0   3000    0 LA 
 7005580541184000  3016035284 -6007523763 -1519187492 -5985263071-21510300996 73543629247      0      0   3000    0 LA 
 7005580571184000  2996299110 -6068719852 -1297761391 -7169399967-19282440895 74060251104      0      0   3000    0 LA 
 7005580601184000  2973036314 -6123191774 -1074907393 -8336107993-17027947409 74495467758      0      0   3000    0 LA 
 7005580631184000  2946301293 -6170863462  -850870504 -9483986312-14749380915 74848767709      0      0   3000    0 LA 
 7005580661184000  2916152595 -6211666579  -625897126-10611666534-12449334616 75119732216      0      0   3000    0 LA 
 7005580691184000  2882652828 -6245540612  -400234777-11717813182-10130431725 75308034142      0      0   3000    0 LA 
 7005580721184000  2845868552 -6272432963  -174131822-12801124885 -7795323870 75413437814      0      0   3000    0 LA 
 7005580751184000  2805870181 -6292299028    52162805-13860336055 -5446689663 75435799835      0      0   3000    0 LA 
 7005580781184000  2762731866 -6305102277   278399883-14894218316 -3087231811 75375071219      0      0   3000    0 LA 
 7005580811184000  2716531390 -6310814317   504330186-15901582639  -719672568 75231298876      0      0   3000    0 LA 
 7005580841184000  2667350037 -6309414948   729704772-16881281704  1653250579 75004625338      0      0   3000    0 LA 
 7005580871184000  2615272471 -6300892199   954275271-17832211066  4028788672 74695288071      0      0   3000    0 LA 
 7005580901184000  2560386603 -6285242358  1177794166-18753309275  6404184520 74303619010      0      0   3000    0 LA 
 7005580931184000  2502783465 -6262469996  1400015078-19643559230  8776675785 73830045636      0      0   3000    0 WA 
 7005580961184000  2442557067 -6232587969  1620693055-20501992048 11143501499 73275090804      0      0   3000    0 WA 
 7005580991184000  2379804251 -6195617408  1839584850-21327688787 13501906290 72639366854      0      0   3000    0 WA 
 7005581021184000  2314624543 -6151587704  2056449185-22119778650 15849138667 71923574664      0      0   3000    0 WA 
 7005581051184000  2247120010 -6100536493  2271047021-22877438706 18182455075 71128508041      0      0   3000    0 WA 
 7005581081184000  2177395115 -6042509618  2483141841-23599895470 20499127284 70255052093      0      0   3000    0 WA 
 7005581111184000  2105556564 -5977561085  2692499913-24286427824 22796444502 69304178784      0      0   3000    0 WA 
 7005581141184000  2031713142 -5905753000  2898890551-24936368262 25071714372 68276945522      0      0   3000    0 WA 
 7005581171184000  1955975562 -5827155517  3102086367-25549102160 27322266435 67174495637      0      0   3000    0 WA 
 7005581201184000  1878456299 -5741846764  3301863533-26124068318 29545456289 65998057387      0      0   3000    0 WA 
 7005581231184000  1799269429 -5649912757  3498002032-26660759734 31738669220 64748942287      0      0   3000    0 WA 
 7005581261184000  1718530469 -5551447308  3690285900-27158724161 33899324216 63428543016      0      0   3000    0 WA 
 7005581291184000  1636356210 -5446551915  3878503474-27617564124 36024877242 62038330354      0      0   3000    0 WA 
 7005581321184000  1552864554 -5335335653  4062447613-28036936106 38112822888 60579850977      0      0   3000    0 WA 
 7005581351184000  1468174353 -5217915052  4241915932-28416550112 40160696318 59054726987      0      0   2000    0 WA 
 7005581381184000  1382405249 -5094413970  4416711025-28756170436 42166076327 57464654956      0      0   2000    0 LA 
 7005581411184000  1295677506 -4964963463  4586640681-29055617026 44126588345 55811404237      0      0   2000    0 LA 
 7005581441184000  1208111846 -4829701634  4751518109-29314766452 46039908350 54096815125      0      0   2000    0 LA 
 7005581471184000  1119829274 -4688773476  4911162139-29533551656 47903767253 52322795457      0      0   2000    0 LA 
